name,       target_id,   ra,         dec,         pos_err,      lii,         bii,         bat_redshift,    redshift,    redshift_err,    redshift_type,   redshift_line,   redshift_from,   redshift_ref,       galaxy_redshift
,GRB 051117A,   164268,15 13 34.09,+30 52 12.7,     0.5, 48.41120, 58.82805,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 051117B,   164279,05 40 43.38,-19 16 27.2,     1.7,223.20855,-23.93110,            ,  0.4810,            ,S            ,E            ,O            ,2012ApJ...752...62J,               ,
,GRB 051210 ,   171931,22 00 41.10,-57 36 48.9,     1.6,335.34190,-47.34601,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 051211A,    20024,06 56 13.00,+32 40 44.0,    80.0,183.61709, 15.17798,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 051211B,    20025,23 02 41.57,+55 04 51.5,     0.4,107.72208, -4.54693,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 051213 ,   172516,16 48 22.32,-59 13 51.6,   108.0,329.37027, -9.14274,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 051221A,   173780,21 54 48.64,+16 53 27.4,     0.5, 73.54639,-28.58599,      0.5465,  0.5465,            ,S            ,E            ,O            ,2005GCN..4384....1B,0.5465         ,
,GRB 080130 ,    20062,17 26 28.74,-53 11 12.1,     4.6,337.46920, -9.89609,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 051221B,   173904,20 49 35.35,+53 02 11.1,     2.1, 91.20857,  5.76844,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 051227 ,   174738,08 20 58.11,+31 55 31.9,     0.2,190.54426, 31.92221,            ,  0.7140,            ,S            ,A            ,O            ,2005GCN..4409....1F,0.714          ,
,GRB 060102 ,   175603,21 55 21.84,-01 50 09.6,   162.0, 56.23952,-40.86546,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060105 ,   175942,19 50 00.68,+46 20 56.0,     1.4, 80.22363, 10.05695,            ,  4.0000,      1.3000,G            ,             ,O            ,2006GCN..4442....1P,               ,
,GRB 060108 ,   176453,09 48 01.98,+31 55 08.6,     0.5,194.66975, 50.10801,            ,  2.0300,            ,P            ,             ,O            ,2006GCN..4539....1M,               ,
,GRB 060109 ,   176620,18 50 43.65,+31 59 27.3,     1.4, 61.94113, 14.11761,            ,        ,            ,             ,             ,             ,                   ,               ,
,GRB 060110 ,   176702,04 50 57.85,+28 25 55.7,     0.2,173.52570,-10.11462,            ,        ,            ,             ,             ,             ,                   ,               ,
